,comment,currency,amount,text_length,text_wordcount,tokenized_comment
808,To let them breathe,SGD,10000,19.0,4.0,"['to', 'let', 'them', 'breathe']"
809,I donated because I hope to ease his family burden and hope his memory can be regained.,SGD,2000,87.0,17.0,"['i', 'donated', 'because', 'i', 'hope', 'to', 'ease', 'his', 'family', 'burden', 'and', 'hope', 'his', 'memory', 'can', 'be', 'regained']"
810,Because they need help. And you can.,SGD,2500,36.0,7.0,"['because', 'they', 'need', 'help', 'and', 'you', 'can']"
811,Prince deserves better! Get well soon!,SGD,5000,38.0,6.0,"['prince', 'deserves', 'better', 'get', 'well', 'soon']"
812,The dogs deserve better treatment from us.,SGD,5000,42.0,7.0,"['the', 'dogs', 'deserve', 'better', 'treatment', 'from', 'us']"
813,For a hope,SGD,5000,10.0,3.0,"['for', 'a', 'hope']"
814,"I work at Morgan Stanley, and I found out this organization and the opportunity via my Firm.  I really hope that the situation in India will get better soon and that the people there can live their lives safely with good health.",INR,100000,228.0,43.0,"['i', 'work', 'at', 'morgan', 'stanley', 'and', 'i', 'found', 'out', 'this', 'organization', 'and', 'the', 'opportunity', 'via', 'my', 'firm', 'i', 'really', 'hope', 'that', 'the', 'situation', 'in', 'india', 'will', 'get', 'better', 'soon', 'and', 'that', 'the', 'people', 'there', 'can', 'live', 'their', 'lives', 'safely', 'with', 'good', 'health']"
815,Every little help will bring the treatment closer,SGD,2000,49.0,8.0,"['every', 'little', 'help', 'will', 'bring', 'the', 'treatment', 'closer']"
816,this is the most direct way to help desperate individual instead of going through Charities...,MYR,20000,94.0,15.0,"['this', 'is', 'the', 'most', 'direct', 'way', 'to', 'help', 'desperate', 'individual', 'instead', 'of', 'going', 'through', 'charities']"
817,I would like to support people suffering from Covid.,INR,500000,52.0,9.0,"['i', 'would', 'like', 'to', 'support', 'people', 'suffering', 'from', 'covid']"
818,To help a family in need,SGD,50000,24.0,6.0,"['to', 'help', 'a', 'family', 'in', 'need']"
819,Hoping even just a bit helps,INR,700000,28.0,6.0,"['hoping', 'even', 'just', 'a', 'bit', 'helps']"
820,Hope the small token will help Norma to regain his eye sight :),SGD,3000,63.0,13.0,"['hope', 'the', 'small', 'token', 'will', 'help', 'norma', 'to', 'regain', 'his', 'eye', 'sight']"
821,I hope this helps save someone's life.,INR,1000000,38.0,7.0,"['i', 'hope', 'this', 'helps', 'save', 'someone', 's', 'life']"
822,God bless baby,SGD,2500,14.0,3.0,"['god', 'bless', 'baby']"
823,Because I have worked with timorese people and they are the kindest and warmest ones I've met. Chin up Timor! You can do this. Emerge stronger!,SGD,25000,143.0,26.0,"['because', 'i', 'have', 'worked', 'with', 'timorese', 'people', 'and', 'they', 'are', 'the', 'kindest', 'and', 'warmest', 'ones', 'i', 've', 'met', 'chin', 'up', 'timor', 'you', 'can', 'do', 'this', 'emerge', 'stronger']"
824,to share around,SGD,5000,15.0,3.0,"['to', 'share', 'around']"
825,"Every little bit of effort helps. Doing my part and love for pets. Nancy, retiree",SGD,5000,81.0,15.0,"['every', 'little', 'bit', 'of', 'effort', 'helps', 'doing', 'my', 'part', 'and', 'love', 'for', 'pets', 'nancy', 'retiree']"
826,Help people makes your life more meaningful and Zen.,SGD,3400,52.0,9.0,"['help', 'people', 'makes', 'your', 'life', 'more', 'meaningful', 'and', 'zen']"
827,I feel everyone deserves a second chance,SGD,5000,40.0,7.0,"['i', 'feel', 'everyone', 'deserves', 'a', 'second', 'chance']"
828,obeying my LORD JESUS’ nudge to me..,SGD,5000,36.0,7.0,"['obeying', 'my', 'lord', 'jesus', 'nudge', 'to', 'me']"
829,I would like to save lives.,INR,100000,27.0,6.0,"['i', 'would', 'like', 'to', 'save', 'lives']"
830,I wish everyone who are suffering will able to have sufficient support...,INR,500000,73.0,12.0,"['i', 'wish', 'everyone', 'who', 'are', 'suffering', 'will', 'able', 'to', 'have', 'sufficient', 'support']"
831,Pray that little Kelly can grow up healthily!,MYR,10000,45.0,8.0,"['pray', 'that', 'little', 'kelly', 'can', 'grow', 'up', 'healthily']"
832,Hope to get well soon ❤️,MYR,5000,24.0,6.0,"['hope', 'to', 'get', 'well', 'soon']"
833,Hope he able to recover so that he can take care of his family. Family need a father and husband.,SGD,5000,97.0,20.0,"['hope', 'he', 'able', 'to', 'recover', 'so', 'that', 'he', 'can', 'take', 'care', 'of', 'his', 'family', 'family', 'need', 'a', 'father', 'and', 'husband']"
834,I would want world to be COVID free,SGD,5000,35.0,8.0,"['i', 'would', 'want', 'world', 'to', 'be', 'covid', 'free']"
835,Small token to help family to move on.,SGD,5000,38.0,8.0,"['small', 'token', 'to', 'help', 'family', 'to', 'move', 'on']"
836,To help people,MYR,1000,14.0,3.0,"['to', 'help', 'people']"
837,the least I can do to help...,INR,1000000,29.0,7.0,"['the', 'least', 'i', 'can', 'do', 'to', 'help']"
838,They deserve every ounce of service for all the hardship they have been going through :(,SGD,5000,88.0,16.0,"['they', 'deserve', 'every', 'ounce', 'of', 'service', 'for', 'all', 'the', 'hardship', 'they', 'have', 'been', 'going', 'through']"
839,He need to recover for his two kids and his wife. Speedy recovery Alex. God bless you and your family.,SGD,2000,102.0,20.0,"['he', 'need', 'to', 'recover', 'for', 'his', 'two', 'kids', 'and', 'his', 'wife', 'speedy', 'recovery', 'alex', 'god', 'bless', 'you', 'and', 'your', 'family']"
840,Because I have lots of colleagues who have family in India.,INR,1000000,59.0,11.0,"['because', 'i', 'have', 'lots', 'of', 'colleagues', 'who', 'have', 'family', 'in', 'india']"
842,"All lives matter despite who they are and whats their background. It's heartbreaking to see our loved ones leave us so quickly, painfully, and helplessly. Let's give our little help and hope for the best. Thanks",SGD,1000,211.0,36.0,"['all', 'lives', 'matter', 'despite', 'who', 'they', 'are', 'and', 'whats', 'their', 'background', 'it', 's', 'heartbreaking', 'to', 'see', 'our', 'loved', 'ones', 'leave', 'us', 'so', 'quickly', 'painfully', 'and', 'helplessly', 'let', 's', 'give', 'our', 'little', 'help', 'and', 'hope', 'for', 'the', 'best', 'thanks']"
843,Susan hope your husband speedy recover 💪💪,SGD,5000,41.0,7.0,"['susan', 'hope', 'your', 'husband', 'speedy', 'recover']"
844,Just helping out someone who is in more dire straits than me,SGD,1000,60.0,12.0,"['just', 'helping', 'out', 'someone', 'who', 'is', 'in', 'more', 'dire', 'straits', 'than', 'me']"
845,All lives matter despite who they are and whats their background.,SGD,3000,65.0,11.0,"['all', 'lives', 'matter', 'despite', 'who', 'they', 'are', 'and', 'whats', 'their', 'background']"
846,"All lives matter despite who they are and whats their background. It's heartbreaking to see our loved ones leave us so quickly, painfully, and helplessly. Let's give our little help and hope for the best. Thanks",SGD,4000,211.0,36.0,"['all', 'lives', 'matter', 'despite', 'who', 'they', 'are', 'and', 'whats', 'their', 'background', 'it', 's', 'heartbreaking', 'to', 'see', 'our', 'loved', 'ones', 'leave', 'us', 'so', 'quickly', 'painfully', 'and', 'helplessly', 'let', 's', 'give', 'our', 'little', 'help', 'and', 'hope', 'for', 'the', 'best', 'thanks']"
847,May my little contribution play a part in helping them through this challenging period.,SGD,2500,87.0,14.0,"['may', 'my', 'little', 'contribution', 'play', 'a', 'part', 'in', 'helping', 'them', 'through', 'this', 'challenging', 'period']"
848,Is a good deed. Always try your best to help when someone need it.,SGD,5000,66.0,14.0,"['is', 'a', 'good', 'deed', 'always', 'try', 'your', 'best', 'to', 'help', 'when', 'someone', 'need', 'it']"
849,"I was a former Malaysian working in Singapore too, I felt the pressure that money earned in Singapore can only spend in Malaysia since we may not be able to afford the cost due to our low wages and Govt doesn’t give subsidy to foreigners.",SGD,10000,238.0,45.0,"['i', 'was', 'a', 'former', 'malaysian', 'working', 'in', 'singapore', 'too', 'i', 'felt', 'the', 'pressure', 'that', 'money', 'earned', 'in', 'singapore', 'can', 'only', 'spend', 'in', 'malaysia', 'since', 'we', 'may', 'not', 'be', 'able', 'to', 'afford', 'the', 'cost', 'due', 'to', 'our', 'low', 'wages', 'and', 'govt', 'doesn', 't', 'give', 'subsidy', 'to', 'foreigners']"
850,"Make a difference in this world, big or small.",SGD,1000,46.0,9.0,"['make', 'a', 'difference', 'in', 'this', 'world', 'big', 'or', 'small']"
851,A small donation from us may heĺp other's life. So why not?,SGD,10000,59.0,12.0,"['a', 'small', 'donation', 'from', 'us', 'may', 'he', 'p', 'other', 's', 'life', 'so', 'why', 'not']"
852,Bcos he damn hardworking for his family n deserved my support,SGD,2000,61.0,11.0,"['bcos', 'he', 'damn', 'hardworking', 'for', 'his', 'family', 'n', 'deserved', 'my', 'support']"
853,Helping others is so wonderful,SGD,2500,30.0,5.0,"['helping', 'others', 'is', 'so', 'wonderful']"
854,I know what it feels to have to work until your bones ache to support yourself & the people you are responsible for. I wish Alex a speedy recovery! Good Bless you Alex.,SGD,3000,168.0,33.0,"['i', 'know', 'what', 'it', 'feels', 'to', 'have', 'to', 'work', 'until', 'your', 'bones', 'ache', 'to', 'support', 'yourself', 'the', 'people', 'you', 'are', 'responsible', 'for', 'i', 'wish', 'alex', 'a', 'speedy', 'recovery', 'good', 'bless', 'you', 'alex']"
855,"Just cannot see her suffering in pain. I am not a doctor or nurse, I just hope can try to change/improve her life.",MYR,20000,114.0,23.0,"['just', 'cannot', 'see', 'her', 'suffering', 'in', 'pain', 'i', 'am', 'not', 'a', 'doctor', 'or', 'nurse', 'i', 'just', 'hope', 'can', 'try', 'to', 'change', 'improve', 'her', 'life']"
856,I'm gifted to give by God's grace🙏,SGD,2000,34.0,7.0,"['i', 'm', 'gifted', 'to', 'give', 'by', 'god', 's', 'grace']"
857,In solidarity with Timor-Leste. Stay safe everyone!,SGD,25000,51.0,7.0,"['in', 'solidarity', 'with', 'timor', 'leste', 'stay', 'safe', 'everyone']"
858,You will be  heal you I pray in the name 🙏 Jesus Christ Amen 🙏,SGD,1000,62.0,16.0,"['you', 'will', 'be', 'heal', 'you', 'i', 'pray', 'in', 'the', 'name', 'jesus', 'christ', 'amen']"
859,I hope this will facilitate the lack of facilities of health care sector a bit.,USD,200,79.0,15.0,"['i', 'hope', 'this', 'will', 'facilitate', 'the', 'lack', 'of', 'facilities', 'of', 'health', 'care', 'sector', 'a', 'bit']"
860,U need it more than me!,SGD,2500,23.0,6.0,"['u', 'need', 'it', 'more', 'than', 'me']"
861,To inspire others to donate too & help lighten the load,SGD,4500,55.0,11.0,"['to', 'inspire', 'others', 'to', 'donate', 'too', 'help', 'lighten', 'the', 'load']"
862,"We should always remember our elderly and those who need help, by helping them within our means to be of support ❤.  We care and we are in this together :)",SGD,1800,155.0,32.0,"['we', 'should', 'always', 'remember', 'our', 'elderly', 'and', 'those', 'who', 'need', 'help', 'by', 'helping', 'them', 'within', 'our', 'means', 'to', 'be', 'of', 'support', 'we', 'care', 'and', 'we', 'are', 'in', 'this', 'together']"
864,"take care, everything will be fine",MYR,2000,34.0,6.0,"['take', 'care', 'everything', 'will', 'be', 'fine']"
866,Small donation hope to help to ease some of your pain. Take care and hope your husband get well soon.,SGD,3000,101.0,20.0,"['small', 'donation', 'hope', 'to', 'help', 'to', 'ease', 'some', 'of', 'your', 'pain', 'take', 'care', 'and', 'hope', 'your', 'husband', 'get', 'well', 'soon']"
867,I hope my small donation can somehow help Indian people combat Covid pandemic. Hope the peace will be back to India very soon.,SGD,500,126.0,23.0,"['i', 'hope', 'my', 'small', 'donation', 'can', 'somehow', 'help', 'indian', 'people', 'combat', 'covid', 'pandemic', 'hope', 'the', 'peace', 'will', 'be', 'back', 'to', 'india', 'very', 'soon']"
868,I pray my small token can help to uplift them in their learning journey,SGD,10000,71.0,14.0,"['i', 'pray', 'my', 'small', 'token', 'can', 'help', 'to', 'uplift', 'them', 'in', 'their', 'learning', 'journey']"
869,For humanity,SGD,1000,12.0,2.0,"['for', 'humanity']"
870,Kids are close to my heart and today I can so I did it,SGD,1000,54.0,14.0,"['kids', 'are', 'close', 'to', 'my', 'heart', 'and', 'today', 'i', 'can', 'so', 'i', 'did', 'it']"
871,"Because this rizq allah blessed me, is not fully mine.",SGD,2000,54.0,10.0,"['because', 'this', 'rizq', 'allah', 'blessed', 'me', 'is', 'not', 'fully', 'mine']"
872,"I donated because no one should have to suffer from something that is preventable. We are all humans that eat, breathe, and sleep. We should show kindness and be compassionate to one another. We should do what we can to help.",SGD,2000,225.0,41.0,"['i', 'donated', 'because', 'no', 'one', 'should', 'have', 'to', 'suffer', 'from', 'something', 'that', 'is', 'preventable', 'we', 'are', 'all', 'humans', 'that', 'eat', 'breathe', 'and', 'sleep', 'we', 'should', 'show', 'kindness', 'and', 'be', 'compassionate', 'to', 'one', 'another', 'we', 'should', 'do', 'what', 'we', 'can', 'to', 'help']"
874,"Join in with my campaign #ProjectSave India. Each donation will be helpful. So, we truly have the ability to save thousands of lives.",SGD,100000,133.0,23.0,"['join', 'in', 'with', 'my', 'campaign', 'projectsave', 'india', 'each', 'donation', 'will', 'be', 'helpful', 'so', 'we', 'truly', 'have', 'the', 'ability', 'to', 'save', 'thousands', 'of', 'lives']"
875,Hope small amount could help the patient towards the recovery journey.,SGD,5000,70.0,11.0,"['hope', 'small', 'amount', 'could', 'help', 'the', 'patient', 'towards', 'the', 'recovery', 'journey']"
876,"I donate because I would like to help my sisters and brothers to have a better education and have a brighter future , Insya allah!",SGD,1000,130.0,25.0,"['i', 'donate', 'because', 'i', 'would', 'like', 'to', 'help', 'my', 'sisters', 'and', 'brothers', 'to', 'have', 'a', 'better', 'education', 'and', 'have', 'a', 'brighter', 'future', 'insya', 'allah']"
877,"May Sai bless all with abundance, peace and good health.",SGD,4500,56.0,10.0,"['may', 'sai', 'bless', 'all', 'with', 'abundance', 'peace', 'and', 'good', 'health']"
878,Mercy,SGD,2000,5.0,1.0,['mercy']
879,I donated because i want to help. It's very tough and torturous when ones is in need of money especially for medical attention and they don't have it.,SGD,5000,150.0,28.0,"['i', 'donated', 'because', 'i', 'want', 'to', 'help', 'it', 's', 'very', 'tough', 'and', 'torturous', 'when', 'ones', 'is', 'in', 'need', 'of', 'money', 'especially', 'for', 'medical', 'attention', 'and', 'they', 'don', 't', 'have', 'it']"
880,I know is tough journey for the little girl. Hope the little donation can help her to have speedy recovery. God bless her! 加油！,MYR,10000,126.0,24.0,"['i', 'know', 'is', 'tough', 'journey', 'for', 'the', 'little', 'girl', 'hope', 'the', 'little', 'donation', 'can', 'help', 'her', 'to', 'have', 'speedy', 'recovery', 'god', 'bless', 'her']"
881,Hope all the children are healthy and happy,MYR,50000,43.0,8.0,"['hope', 'all', 'the', 'children', 'are', 'healthy', 'and', 'happy']"
882,Wish you cover soon 🙏🏻,SGD,2000,22.0,5.0,"['wish', 'you', 'cover', 'soon']"
883,Hope he recovers asap,SGD,5000,21.0,4.0,"['hope', 'he', 'recovers', 'asap']"
884,"Save life, and make life meaningful.",SGD,2000,36.0,6.0,"['save', 'life', 'and', 'make', 'life', 'meaningful']"
885,To help the community,SGD,10000,21.0,4.0,"['to', 'help', 'the', 'community']"
886,Hope you recover soon...,SGD,5000,24.0,4.0,"['hope', 'you', 'recover', 'soon']"
887,i hope he will get well soon without to worry about the finances.,SGD,10000,65.0,13.0,"['i', 'hope', 'he', 'will', 'get', 'well', 'soon', 'without', 'to', 'worry', 'about', 'the', 'finances']"
888,Medical bills are really insane and their twin daughters deserve a chance to experience the world,SGD,500,97.0,16.0,"['medical', 'bills', 'are', 'really', 'insane', 'and', 'their', 'twin', 'daughters', 'deserve', 'a', 'chance', 'to', 'experience', 'the', 'world']"
890,i love dogs.,SGD,10000,12.0,3.0,"['i', 'love', 'dogs']"
891,Pray for India. You will win the battle,SGD,2500,39.0,8.0,"['pray', 'for', 'india', 'you', 'will', 'win', 'the', 'battle']"
892,I donated because everyone deserves equal chance in life.,SGD,5000,57.0,9.0,"['i', 'donated', 'because', 'everyone', 'deserves', 'equal', 'chance', 'in', 'life']"
893,Thank you for the wonderful work you guys are doing. Wish we could come visit! Soon... good luck !,MYR,50000,98.0,19.0,"['thank', 'you', 'for', 'the', 'wonderful', 'work', 'you', 'guys', 'are', 'doing', 'wish', 'we', 'could', 'come', 'visit', 'soon', 'good', 'luck']"
894,May God be with you and your family. Stay strong and pray that you conquer the battle soon 🙏,SGD,5000,92.0,19.0,"['may', 'god', 'be', 'with', 'you', 'and', 'your', 'family', 'stay', 'strong', 'and', 'pray', 'that', 'you', 'conquer', 'the', 'battle', 'soon']"
895,To help people in need,SGD,10000,22.0,5.0,"['to', 'help', 'people', 'in', 'need']"
896,Kelly deserves a chance for a better life.,MYR,20000,42.0,8.0,"['kelly', 'deserves', 'a', 'chance', 'for', 'a', 'better', 'life']"
897,I hope he can speedy recovery,SGD,3000,29.0,6.0,"['i', 'hope', 'he', 'can', 'speedy', 'recovery']"
898,I care,SGD,1000,6.0,2.0,"['i', 'care']"
899,"Though I do not know this ah-ma, but sad to see her in such state. please help this ah-ma if you can. your little help will be appreciated by the family.",SGD,3000,153.0,31.0,"['though', 'i', 'do', 'not', 'know', 'this', 'ah', 'ma', 'but', 'sad', 'to', 'see', 'her', 'in', 'such', 'state', 'please', 'help', 'this', 'ah', 'ma', 'if', 'you', 'can', 'your', 'little', 'help', 'will', 'be', 'appreciated', 'by', 'the', 'family']"
900,Get well soon! Jia You💪💪💪,SGD,10000,25.0,5.0,"['get', 'well', 'soon', 'jia', 'you']"
901,LOVE OF GOD,SGD,2500,11.0,3.0,"['love', 'of', 'god']"
902,I am a Singaporean working in a foreign country by myself too. So this story is very relatable to me as it could very well happen to me too.,SGD,20000,140.0,29.0,"['i', 'am', 'a', 'singaporean', 'working', 'in', 'a', 'foreign', 'country', 'by', 'myself', 'too', 'so', 'this', 'story', 'is', 'very', 'relatable', 'to', 'me', 'as', 'it', 'could', 'very', 'well', 'happen', 'to', 'me', 'too']"
903,India needs our help!,SGD,25000,21.0,4.0,"['india', 'needs', 'our', 'help']"
904,I hope I can help in the aid course of India’s pandemic situation .,SGD,5000,67.0,14.0,"['i', 'hope', 'i', 'can', 'help', 'in', 'the', 'aid', 'course', 'of', 'india', 's', 'pandemic', 'situation']"
905,Save life!,SGD,5000,10.0,2.0,"['save', 'life']"
906,Hope can help a little,SGD,5000,22.0,5.0,"['hope', 'can', 'help', 'a', 'little']"
907,I donated because my girl is participating in the campaign and I feel this campaign has bring a lot of advantages and learning joy to many kids,MYR,10000,143.0,27.0,"['i', 'donated', 'because', 'my', 'girl', 'is', 'participating', 'in', 'the', 'campaign', 'and', 'i', 'feel', 'this', 'campaign', 'has', 'bring', 'a', 'lot', 'of', 'advantages', 'and', 'learning', 'joy', 'to', 'many', 'kids']"
908,I want to help.,SGD,5000,15.0,4.0,"['i', 'want', 'to', 'help']"
909,Give a little hope to make someone life better. :),SGD,10000,50.0,10.0,"['give', 'a', 'little', 'hope', 'to', 'make', 'someone', 'life', 'better']"
910,"My dad is also diabetic, he reminded me of my dad. Praying for good health for both of them",SGD,500,91.0,19.0,"['my', 'dad', 'is', 'also', 'diabetic', 'he', 'reminded', 'me', 'of', 'my', 'dad', 'praying', 'for', 'good', 'health', 'for', 'both', 'of', 'them']"
911,To help needy people get oxygen,SGD,10000,31.0,6.0,"['to', 'help', 'needy', 'people', 'get', 'oxygen']"
912,"Compassion is the only option forward. Hope that this money goes to the people as advertised.

~on behalf of Abyss concept",SGD,10000,122.0,20.0,"['compassion', 'is', 'the', 'only', 'option', 'forward', 'hope', 'that', 'this', 'money', 'goes', 'to', 'the', 'people', 'as', 'advertised', 'on', 'behalf', 'of', 'abyss', 'concept']"
913,the conversation is needed.,USD,10000,27.0,4.0,"['the', 'conversation', 'is', 'needed']"
914,At critical moments it is best that everyone stay together hand in hand by helping to get through toughest times. May everything be ok and covid to vanish.,SGD,5000,155.0,28.0,"['at', 'critical', 'moments', 'it', 'is', 'best', 'that', 'everyone', 'stay', 'together', 'hand', 'in', 'hand', 'by', 'helping', 'to', 'get', 'through', 'toughest', 'times', 'may', 'everything', 'be', 'ok', 'and', 'covid', 'to', 'vanish']"
915,To do my little part.,SGD,5000,21.0,5.0,"['to', 'do', 'my', 'little', 'part']"
916,Stay strong 💪🏻,SGD,5000,14.0,3.0,"['stay', 'strong']"
917,To help those in crisis. I am thankful for the opportunity to give because it shows how much I have been blessed.,SGD,5000,113.0,22.0,"['to', 'help', 'those', 'in', 'crisis', 'i', 'am', 'thankful', 'for', 'the', 'opportunity', 'to', 'give', 'because', 'it', 'shows', 'how', 'much', 'i', 'have', 'been', 'blessed']"
918,Stray dogs deserve equal living opportunity and love. Please help if you can within your means.,SGD,10000,95.0,16.0,"['stray', 'dogs', 'deserve', 'equal', 'living', 'opportunity', 'and', 'love', 'please', 'help', 'if', 'you', 'can', 'within', 'your', 'means']"
920,Sharing my blessings with others especially in the month of Ramadan,SGD,10000,67.0,11.0,"['sharing', 'my', 'blessings', 'with', 'others', 'especially', 'in', 'the', 'month', 'of', 'ramadan']"
921,To support Red Cross activities in India,SGD,10000,40.0,7.0,"['to', 'support', 'red', 'cross', 'activities', 'in', 'india']"
922,Help ppl in need. My heart goes out to them,SGD,10000,43.0,10.0,"['help', 'ppl', 'in', 'need', 'my', 'heart', 'goes', 'out', 'to', 'them']"
923,I care,SGD,10000,6.0,2.0,"['i', 'care']"
924,I care,SGD,10000,6.0,2.0,"['i', 'care']"
925,Hope you will recover soon. Jia you,SGD,2000,35.0,7.0,"['hope', 'you', 'will', 'recover', 'soon', 'jia', 'you']"
926,Hope to contribute within my affordability.,SGD,10000,43.0,6.0,"['hope', 'to', 'contribute', 'within', 'my', 'affordability']"
927,i hope to contribute and hope it can help them through this bad times.,SGD,5000,70.0,14.0,"['i', 'hope', 'to', 'contribute', 'and', 'hope', 'it', 'can', 'help', 'them', 'through', 'this', 'bad', 'times']"
928,An ARMY and a covid patient.Thanks for doing this ❤,USD,400,51.0,10.0,"['an', 'army', 'and', 'a', 'covid', 'patient', 'thanks', 'for', 'doing', 'this']"
929,"All lives matter, please, let us each do our part to save India and anyone who deserves to live - not die.",SGD,37000,106.0,22.0,"['all', 'lives', 'matter', 'please', 'let', 'us', 'each', 'do', 'our', 'part', 'to', 'save', 'india', 'and', 'anyone', 'who', 'deserves', 'to', 'live', 'not', 'die']"
932,"I am about to give tithes to the church but this story came up from my IG feed. It moved me so much, and I am a mother myself. Get well soon Jocelyn. I am praying for you. And stay strong Cindy. (Dian)",MYR,70000,201.0,43.0,"['i', 'am', 'about', 'to', 'give', 'tithes', 'to', 'the', 'church', 'but', 'this', 'story', 'came', 'up', 'from', 'my', 'ig', 'feed', 'it', 'moved', 'me', 'so', 'much', 'and', 'i', 'am', 'a', 'mother', 'myself', 'get', 'well', 'soon', 'jocelyn', 'i', 'am', 'praying', 'for', 'you', 'and', 'stay', 'strong', 'cindy', 'dian']"
933,I care for the baby and the family. Praying for baby Avery!,SGD,25000,59.0,12.0,"['i', 'care', 'for', 'the', 'baby', 'and', 'the', 'family', 'praying', 'for', 'baby', 'avery']"
934,Always feel good to help others when you can,SGD,5000,44.0,9.0,"['always', 'feel', 'good', 'to', 'help', 'others', 'when', 'you', 'can']"
935,Jia you everyone.,SGD,1000,17.0,3.0,"['jia', 'you', 'everyone']"
936,Let’s help each other whenever you can.,SGD,10000,39.0,7.0,"['let', 's', 'help', 'each', 'other', 'whenever', 'you', 'can']"
937,I am a wife and a mother too.,SGD,5000,29.0,8.0,"['i', 'am', 'a', 'wife', 'and', 'a', 'mother', 'too']"
938,I donate because I believe in giving every child a chance to learn and that every child should not be deprived because of their family social status.,SGD,2000,149.0,27.0,"['i', 'donate', 'because', 'i', 'believe', 'in', 'giving', 'every', 'child', 'a', 'chance', 'to', 'learn', 'and', 'that', 'every', 'child', 'should', 'not', 'be', 'deprived', 'because', 'of', 'their', 'family', 'social', 'status']"
939,I hope the kid will get better and i hope that my son also will get better from his kidney condition.,MYR,5000,101.0,21.0,"['i', 'hope', 'the', 'kid', 'will', 'get', 'better', 'and', 'i', 'hope', 'that', 'my', 'son', 'also', 'will', 'get', 'better', 'from', 'his', 'kidney', 'condition']"
940,I hope she can continue stay strong and fight off this out! 🙏🏼,MYR,10000,62.0,13.0,"['i', 'hope', 'she', 'can', 'continue', 'stay', 'strong', 'and', 'fight', 'off', 'this', 'out']"
941,I wish to offer my help to the less fortunate.,SGD,1000,46.0,10.0,"['i', 'wish', 'to', 'offer', 'my', 'help', 'to', 'the', 'less', 'fortunate']"
942,Stay Strong India! God Bless You All!,SGD,5000,37.0,7.0,"['stay', 'strong', 'india', 'god', 'bless', 'you', 'all']"
943,I want to help,SGD,10000,14.0,4.0,"['i', 'want', 'to', 'help']"
944,Wishing the world and everyone good health and be happy.,MYR,50000,56.0,10.0,"['wishing', 'the', 'world', 'and', 'everyone', 'good', 'health', 'and', 'be', 'happy']"
945,I donated to help unfortunate people based on my own ability and build a good karma. I believe the unfortunate people deserved better and equal.,SGD,10000,144.0,25.0,"['i', 'donated', 'to', 'help', 'unfortunate', 'people', 'based', 'on', 'my', 'own', 'ability', 'and', 'build', 'a', 'good', 'karma', 'i', 'believe', 'the', 'unfortunate', 'people', 'deserved', 'better', 'and', 'equal']"
946,I like to help and make them happy,SGD,30000,34.0,8.0,"['i', 'like', 'to', 'help', 'and', 'make', 'them', 'happy']"
947,Good luck 🤞,SGD,3000,11.0,3.0,"['good', 'luck']"
948,Get well soon Manidhar,SGD,20500,22.0,4.0,"['get', 'well', 'soon', 'manidhar']"
949,i can,SGD,5000,5.0,2.0,"['i', 'can']"
952,May God grant His strength and blessings to the kid and family during this difficult time.,SGD,10000,90.0,16.0,"['may', 'god', 'grant', 'his', 'strength', 'and', 'blessings', 'to', 'the', 'kid', 'and', 'family', 'during', 'this', 'difficult', 'time']"
955,"I donated because I can. And hopefully, someone’s life might be saved.",SGD,10000,70.0,12.0,"['i', 'donated', 'because', 'i', 'can', 'and', 'hopefully', 'someone', 's', 'life', 'might', 'be', 'saved']"
956,"Having a big family definitely is a Happiness. Being a solely breadwinner now is a challenging task for her. With our support, I am sure herself and kids will lead a normal life just like us.May Allah ease Ur affairs.Ameen",SGD,3000,222.0,40.0,"['having', 'a', 'big', 'family', 'definitely', 'is', 'a', 'happiness', 'being', 'a', 'solely', 'breadwinner', 'now', 'is', 'a', 'challenging', 'task', 'for', 'her', 'with', 'our', 'support', 'i', 'am', 'sure', 'herself', 'and', 'kids', 'will', 'lead', 'a', 'normal', 'life', 'just', 'like', 'us', 'may', 'allah', 'ease', 'ur', 'affairs', 'ameen']"
957,May all ve well and happy.,SGD,15000,26.0,6.0,"['may', 'all', 've', 'well', 'and', 'happy']"
958,So he can recover ♥️,SGD,1000,20.0,5.0,"['so', 'he', 'can', 'recover']"
959,Anyone would.,SGD,5000,13.0,2.0,"['anyone', 'would']"
961,Sincere prayers!,SGD,25000,16.0,2.0,"['sincere', 'prayers']"
962,Our prayers are with you for the babies growth and support.,SGD,2500,59.0,11.0,"['our', 'prayers', 'are', 'with', 'you', 'for', 'the', 'babies', 'growth', 'and', 'support']"
963,"Using this platform to practice donate regularly, hope u recover speedy.",SGD,100,72.0,11.0,"['using', 'this', 'platform', 'to', 'practice', 'donate', 'regularly', 'hope', 'u', 'recover', 'speedy']"
964,"Speedy recover buddy! And get reunion with your family.
From a malaysian who works in sg too.",SGD,2000,93.0,16.0,"['speedy', 'recover', 'buddy', 'and', 'get', 'reunion', 'with', 'your', 'family', 'from', 'a', 'malaysian', 'who', 'works', 'in', 'sg', 'too']"
965,I donated because i want to help the people affected by this pandemic,SGD,20100,69.0,13.0,"['i', 'donated', 'because', 'i', 'want', 'to', 'help', 'the', 'people', 'affected', 'by', 'this', 'pandemic']"
